key,score,repeat,average
maracuya,9.1,1,9.1
survival,8.6,1,8.6
unhurried,9.1,1,9.1
thusfar,8.9,1,8.9
glance,9.6,1,9.6
need,2799.3,335,8.356119402985076
entrar,17.3,2,8.65
racist,15.3,2,7.65
reigning,7.1,1,7.1
saviordis,9.3,1,9.3
unplug,15.5,2,7.75
lintzer,9.4,1,9.4
verso,9.3,1,9.3
oyster,871.4,104,8.378846153846153
tempero,9.5,1,9.5
tdf,17.7,2,8.85
amen,18.1,2,9.05
riataurante,9.5,1,9.5
yummyyy,9.2,1,9.2
alibi,9.3,1,9.3
charged,80.5,11,7.318181818181818
call,573.3,68,8.430882352941175
chemex,61.0,7,8.714285714285714
porq,9.4,1,9.4
perderte,9.3,1,9.3
drip,417.3,50,8.346
cantina,6.5,1,6.5
fuji,69.4,8,8.675
uma,389.4,52,7.488461538461538
chateauneuf,9.4,1,9.4
attach,8.4,1,8.4
appreciably,9.0,1,9.0
vive,9.5,1,9.5
jones,65.7,8,8.2125
unpleasant,26.8,3,8.933333333333334
vegetal,9.3,1,9.3
chewiness,26.6,3,8.866666666666667
opposed,9.6,1,9.6
pricey,1540.3,183,8.416939890710383
flick,7.5,1,7.5
lau,8.6,1,8.6
tensley,9.1,1,9.1
value,907.4,107,8.480373831775701
filtered,18.4,2,9.2
parttimeveganbf,9.3,1,9.3
cannelet,9.4,1,9.4
chaotic,62.3,7,8.9
cheerio,9.4,1,9.4
combinan,9.6,1,9.6
orgasmo,27.3,3,9.1
viena,9.4,1,9.4
rectangular,7.7,1,7.7
ressies,9.3,1,9.3
cramming,9.1,1,9.1
injected,17.9,2,8.95
jalepano,9.3,1,9.3
converted,35.1,4,8.775
profundity,8.8,1,8.8
toda,9.5,1,9.5
thought,390.4,45,8.675555555555555
refers,9.4,1,9.4
appointment,6.8,1,6.8
career,8.6,1,8.6
pointless,8.8,1,8.8
inventives,8.8,1,8.8
unprofessional,9.4,1,9.4
articles,18.5,2,9.25
wafels,6.8,1,6.8
advertised,44.3,5,8.86
nanban,8.7,1,8.7
grava,9.3,1,9.3
tortillas,247.3,30,8.243333333333334
puppies,51.3,6,8.549999999999999
squirts,9.0,1,9.0
started,208.3,24,8.679166666666667
broey,7.5,1,7.5
duel,7.6,1,7.6
heureusement,9.4,1,9.4
whitefish,132.1,16,8.25625
fruit,1247.3,152,8.20592105263158
late,2116.3,254,8.331889763779529
cortadito,8.9,1,8.9
continue,18.4,2,9.2
clasic,9.1,1,9.1
yakitori,485.4,62,7.829032258064516
loves,337.4,39,8.65128205128205
experimente,9.6,1,9.6
purge,17.4,2,8.7
restroom,332.4,42,7.914285714285714
espesso,18.4,2,9.2
hotel,116.3,13,8.946153846153846
buddah,9.1,1,9.1
hunt,18.5,2,9.25
ringing,9.5,1,9.5
mold,8.2,1,8.2
michal,9.2,1,9.2
pasticceria,9.3,1,9.3
cronut,27.2,3,9.066666666666666
opcoes,8.7,1,8.7
purrrfect,8.8,1,8.8
cancel,9.6,1,9.6
cinnemax,9.0,1,9.0
foccacia,99.5,11,9.045454545454545
loudspeakers,8.0,1,8.0
marrow,75.4,11,6.854545454545455
bombay,16.1,2,8.05
empanada,18.2,2,9.1
dragon,25.2,3,8.4
menos,18.3,2,9.15
roasted,1310.3,152,8.620394736842105
proletariat,8.1,1,8.1
appalling,9.2,1,9.2
manger,47.3,6,7.883333333333333
pasture,26.6,3,8.866666666666667
trick,58.0,7,8.285714285714286
unfortunately,319.2,37,8.627027027027026
carciofini,9.4,1,9.4
thicken,9.1,1,9.1
incompetence,17.1,2,8.55
freshman,6.5,1,6.5
dufresne,18.5,2,9.25
mode,25.4,3,8.466666666666667
parede,17.3,2,8.65
comprando,9.5,1,9.5
length,18.4,2,9.2
lombardi,18.6,2,9.3
scanned,6.8,1,6.8
officially,61.9,7,8.842857142857143
laissez,9.4,1,9.4
